run_id,kernel,load_type,pred_class,latency_ms,timestamp_us
51,vanilla,combined,3,3.916,1783581007375271
52,vanilla,combined,5,3.442,1783581007379123
53,vanilla,combined,5,4.578,1783581007384133
54,vanilla,combined,5,3.062,1783581007387602
55,vanilla,combined,3,3.890,1783581007391897
56,vanilla,combined,0,4.717,1783581007397153
57,vanilla,combined,2,3.667,1783581007401255
58,vanilla,combined,5,3.991,1783581007405669
59,vanilla,combined,4,3.546,1783581007409633
60,vanilla,combined,6,1.996,1783581007412038
61,vanilla,combined,1,3.890,1783581007416327
62,vanilla,combined,2,4.456,1783581007421232
63,vanilla,combined,3,4.359,1783581007426014
64,vanilla,combined,2,3.512,1783581007429926
65,vanilla,combined,7,2.010,1783581007432352
66,vanilla,combined,7,3.975,1783581007436741
67,vanilla,combined,5,4.569,1783581007441718
68,vanilla,combined,2,4.048,1783581007446181
69,vanilla,combined,0,3.380,1783581007449967
70,vanilla,combined,6,2.722,1783581007453194
71,vanilla,combined,2,4.202,1783581007457820
72,vanilla,combined,3,4.046,1783581007462273
73,vanilla,combined,2,4.534,1783581007467216
74,vanilla,combined,5,2.490,1783581007470111
75,vanilla,combined,0,1.962,1783581007472489
76,vanilla,combined,1,4.471,1783581007477382
77,vanilla,combined,2,4.442,1783581007482287
78,vanilla,combined,7,4.627,1783581007487342
79,vanilla,combined,3,3.179,1783581007490925
80,vanilla,combined,1,2.812,1783581007494168
81,vanilla,combined,5,4.421,1783581007499004
82,vanilla,combined,0,4.544,1783581007503946
83,vanilla,combined,7,3.168,1783581007507509
84,vanilla,combined,0,2.525,1783581007510441
85,vanilla,combined,6,4.546,1783581007515386
86,vanilla,combined,7,3.324,1783581007519127
87,vanilla,combined,6,2.838,1783581007522347
88,vanilla,combined,6,4.510,1783581007527261
89,vanilla,combined,0,3.862,1783581007531513
90,vanilla,combined,7,3.718,1783581007535644
91,vanilla,combined,1,5.577,1783581007541623
92,vanilla,combined,6,4.246,1783581007546269
93,vanilla,combined,7,1.909,1783581007548586
94,vanilla,combined,6,9.070,1783581007558048
95,vanilla,combined,4,4.566,1783581007563016
96,vanilla,combined,3,3.323,1783581007566740
97,vanilla,combined,1,4.904,1783581007572040
98,vanilla,combined,6,4.254,1783581007576691
99,vanilla,combined,2,3.155,1783581007580341
